MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211207,High Plains,"88,245.58","421,119.45","331,894.97","186,863.17","45,442.10",0.00,2021-12-07,2021-12-13,1
20211207,Midwest,"302,324.42","196,540.88","86,989.41","24,353.84","1,150.24",0.00,2021-12-07,2021-12-13,1
20211207,Northeast,"180,416.02","22,679.17","4,141.04","1,727.47",0.00,0.00,2021-12-07,2021-12-13,1
20211207,South,"148,976.31","375,999.00","250,894.85","85,703.65","3,497.81",0.00,2021-12-07,2021-12-13,1
20211207,Southeast,"95,282.34","195,059.25","74,510.65","36,223.90",0.00,0.00,2021-12-07,2021-12-13,1
20211207,West,"610,075.10","1,164,991.10","1,126,186.69","916,714.16","523,498.32","149,602.94",2021-12-07,2021-12-13,1
20211130,High Plains,"88,245.58","421,119.45","325,652.13","170,435.21","40,379.15",0.00,2021-11-30,2021-12-06,1
20211130,Midwest,"305,240.80","193,624.50","86,219.54","24,353.84","1,150.24",0.00,2021-11-30,2021-12-06,1
20211130,Northeast,"183,404.75","19,690.44","4,141.04","1,727.47",0.00,0.00,2021-11-30,2021-12-06,1
20211130,South,"180,205.16","344,770.14","218,783.30","63,081.15","1,562.14",0.00,2021-11-30,2021-12-06,1
20211130,Southeast,"149,867.29","140,474.30","51,749.64","13,190.12",0.00,0.00,2021-11-30,2021-12-06,1
20211130,West,"607,591.65","1,167,474.55","1,118,528.74","902,399.93","523,445.16","160,288.74",2021-11-30,2021-12-06,1
20211123,High Plains,"91,932.95","417,432.08","311,586.93","157,322.44","28,598.43",0.00,2021-11-23,2021-11-29,1
20211123,Midwest,"327,564.71","171,300.59","88,735.60","24,756.36","2,658.95",0.00,2021-11-23,2021-11-29,1
20211123,Northeast,"186,017.78","17,077.40","4,141.04","1,727.47",0.00,0.00,2021-11-23,2021-11-29,1
20211123,South,"223,741.74","301,233.57","161,781.43","42,003.02","1,562.14",0.00,2021-11-23,2021-11-29,1
20211123,Southeast,"184,076.65","106,264.94","39,287.53",0.00,0.00,0.00,2021-11-23,2021-11-29,1
20211123,West,"607,591.65","1,167,474.55","1,100,339.84","874,046.53","506,537.61","160,288.74",2021-11-23,2021-11-29,1
20211116,High Plains,"104,051.61","405,313.42","297,430.85","152,458.68","25,043.44",0.00,2021-11-16,2021-11-22,1
20211116,Midwest,"330,140.72","168,724.58","88,735.60","24,756.36","2,658.95",0.00,2021-11-16,2021-11-22,1
20211116,Northeast,"186,625.18","16,470.00","4,140.97","1,727.47",0.00,0.00,2021-11-16,2021-11-22,1
20211116,South,"235,297.89","289,677.41","141,806.26","32,565.23","1,159.09",0.00,2021-11-16,2021-11-22,1
20211116,Southeast,"219,491.24","70,850.35","28,591.15",0.00,0.00,0.00,2021-11-16,2021-11-22,1
20211116,West,"610,591.47","1,164,474.73","1,081,540.24","870,653.36","505,107.48","160,404.06",2021-11-16,2021-11-22,1
20211109,High Plains,"107,365.64","401,999.39","300,483.92","148,779.32","27,821.22",0.00,2021-11-09,2021-11-15,1
20211109,Midwest,"315,419.36","183,445.94","96,862.82","26,584.77","5,622.94",0.00,2021-11-09,2021-11-15,1
20211109,Northeast,"186,913.42","16,181.76","4,140.97","1,727.47",0.00,0.00,2021-11-09,2021-11-15,1
20211109,South,"249,118.31","275,856.99","121,672.76","22,461.01",538.28,0.00,2021-11-09,2021-11-15,1
20211109,Southeast,"233,089.36","57,252.23","18,589.29",0.00,0.00,0.00,2021-11-09,2021-11-15,1
20211109,West,"613,365.75","1,161,700.45","1,077,004.08","879,237.94","518,912.02","164,255.88",2021-11-09,2021-11-15,1
20211102,High Plains,"107,355.81","402,009.22","300,483.92","145,665.45","28,513.64",0.00,2021-11-02,2021-11-08,1
20211102,Midwest,"317,785.08","181,080.22","96,862.82","26,584.77","5,622.94",0.00,2021-11-02,2021-11-08,1
20211102,Northeast,"187,937.80","15,157.39","4,140.97","2,174.05",0.00,0.00,2021-11-02,2021-11-08,1
20211102,South,"254,863.48","270,111.82","119,681.17","24,621.04",538.28,0.00,2021-11-02,2021-11-08,1
20211102,Southeast,"229,082.97","61,258.62","14,224.92",0.00,0.00,0.00,2021-11-02,2021-11-08,1
20211102,West,"614,075.56","1,160,990.64","1,074,846.29","886,607.22","526,901.58","172,794.35",2021-11-02,2021-11-08,1
20211026,High Plains,"86,413.51","422,951.52","321,413.03","168,438.29","36,627.05","2,031.33",2021-10-26,2021-11-01,1
20211026,Midwest,"312,835.69","186,029.61","88,280.25","38,265.69","5,988.42",0.00,2021-10-26,2021-11-01,1
20211026,Northeast,"175,894.69","27,200.50","5,962.45","2,174.05",0.00,0.00,2021-10-26,2021-11-01,1
20211026,South,"259,966.91","265,008.39","98,733.21","16,826.71",538.28,0.00,2021-10-26,2021-11-01,1
20211026,Southeast,"222,821.42","67,520.17","3,193.79",0.00,0.00,0.00,2021-10-26,2021-11-01,1
20211026,West,"610,741.86","1,164,324.34","1,078,608.61","886,400.47","559,197.96","181,579.80",2021-10-26,2021-11-01,1
20211019,High Plains,"85,691.49","423,673.54","316,189.80","167,096.68","44,175.95","2,031.33",2021-10-19,2021-10-25,1
20211019,Midwest,"303,584.55","195,280.75","93,157.28","40,887.41","5,988.42",0.00,2021-10-19,2021-10-25,1
20211019,Northeast,"175,894.69","27,200.50","5,962.45","2,174.05",0.00,0.00,2021-10-19,2021-10-25,1
20211019,South,"310,529.93","214,445.37","77,820.21","9,958.09",538.28,0.00,2021-10-19,2021-10-25,1
20211019,Southeast,"255,670.30","34,671.29",43.82,0.00,0.00,0.00,2021-10-19,2021-10-25,1
20211019,West,"614,084.95","1,160,981.25","1,071,024.77","886,406.99","610,112.34","200,963.67",2021-10-19,2021-10-25,1
20211012,High Plains,"78,748.74","430,616.29","330,617.61","206,698.05","86,744.81","2,334.83",2021-10-12,2021-10-18,1
20211012,Midwest,"301,167.62","197,697.68","97,449.24","45,841.51","13,169.64",0.00,2021-10-12,2021-10-18,1
20211012,Northeast,"173,726.81","29,368.38","6,113.67","2,174.05",0.00,0.00,2021-10-12,2021-10-18,1
20211012,South,"289,808.75","235,166.56","84,760.33","14,713.29","1,061.52",0.00,2021-10-12,2021-10-18,1
20211012,Southeast,"260,268.09","30,073.50",397.18,0.00,0.00,0.00,2021-10-12,2021-10-18,1
20211012,West,"615,643.86","1,159,422.34","1,071,024.77","895,683.61","611,606.82","210,785.27",2021-10-12,2021-10-18,1
20211005,High Plains,"78,613.12","430,751.91","326,960.19","219,924.29","97,810.29","2,334.83",2021-10-05,2021-10-11,1
20211005,Midwest,"285,489.26","213,376.04","107,068.31","60,786.50","15,672.05",0.00,2021-10-05,2021-10-11,1
20211005,Northeast,"182,286.32","20,808.87","6,113.67","1,617.68",0.00,0.00,2021-10-05,2021-10-11,1
20211005,South,"317,269.84","207,705.46","72,784.51","16,826.77","2,024.46",0.00,2021-10-05,2021-10-11,1
20211005,Southeast,"257,774.59","32,567.00",407.24,0.00,0.00,0.00,2021-10-05,2021-10-11,1
