Active,Airline,AirlineID,Alias,Callsign,Country,IATA,ICAO
N,Aerodromo De La Mancha,1056,\N,AEROMAN,Spain,"",MAM
N,Aerodynamics Incorporated,815,\N,DYNAJET,United States,"",DNJ
N,Aerodyne,81,\N,AERODYNE,United States,"",ADY
N,Aerodyne Charter Company,406,\N,QUANZA,United States,"",AQZ
N,Aeroejecutiva Nieto,1115,\N,AERONIETO,Mexico,"",NIE
N,Aeroejecutivo,243,\N,AEROEXO,Mexico,"",AJO
N,Aeroejecutivos Colombia,245,\N,AEROEJECUTIVOS,Colombia,"",AJS
N,Aeroel Airways,1220,\N,AEROEL,Israel,"",ROL
N,Aeroenlaces Nacionales,102,\N,"",Mexico,"",AEN
N,Aeroenlaces Nacionales,364,\N,AEROENLACES,Mexico,"",VIV
N,Aeroeste,1217,\N,ESTE-BOLIVIA,Bolivia,"",ROE
N,Aeroexpreso Interamericano,98,\N,INTERAM,Colombia,"",AEI
N,Aerofan,756,\N,AEROFAN,Spain,"",CFF
N,Aeroferinco,481,\N,FERINCO,Mexico,"",FEO
N,Aeroflota Del Noroeste,885,\N,RIAZOR,Spain,"",FNO
N,Aeroflot-Cargo,1178,\N,AEROFLOT-CARGO,Russia,"",RCF
N,Aerofreight Airlines,892,\N,"",Russia,"",FRT
N,Aerofrisco,870,\N,AEROFRISCO,Mexico,"",FCO
N,Aerofumigaciones Sam,97,\N,FUMIGACIONES SAM,Chile,"",AEG
N,Aerogala,171,\N,GALASERVICE,Chile,"",AGQ
N,Aerogaucho,898,\N,AEROGAUCHO,Uruguay,"",GAU
N,Aerogem Cargo,902,\N,AEROGEM,Ghana,"",GCK
N,Aerogisa,1128,\N,AEROGISA,Mexico,"",OGI
N,Aerogroup 98 Limited,1244,\N,TYNWALD,United Kingdom,"",RWY
N,Aerohein,936,\N,AEROHEIN,Chile,"",HEI
N,Aeroingenieria,958,\N,AEROINGE,Chile,"",ING
N,Aeroitalia,1222,\N,AEROITALIA,Italy,"",ROO
N,Aerojal,971,\N,AEROJAL,Mexico,"",JAD
N,Aerojet de Costa Rica,415,\N, S.A.,"","",ARJ
N,Aerojobeni,978,\N,JOBENI,Mexico,"",JOB
N,Aerokaluz,997,\N,AEROKALUZ,Mexico,"",KLZ
N,Aero-Kamov,1098,\N,AERAFKAM,Russia,"",MSV
N,Aerokuzbass,1117,\N,NOVOKUZNETSK,Russia,"",NKZ
N,Aerol,339,\N,ANTIOQUIA,Colombia,"",ANQ
N,Aerol,1097,\N,MESO AMERICANAS,Mexico,"",MSO
N,Aerolaguna,1019,\N,AEROLAGUNA,Mexico,"",LGN
N,Aeroland Airways,1107,\N,"",Greece,3S,""
N,Aerolift Company,529,\N,LIFTCO,Sierra Leone,"",LFT
N,Aerolima,1027,\N,AEROLIMA,Mexico,"",LMA
N,Aerolinea Muri,355,\N,MURI,Mexico,"",MUR
N,Aerolineas Aereas Ejecutivas De Durango,1011,\N,DURANGO,Mexico,"",LDG
N,Aerolineas Amanecer,1082,\N,AEROAMANECER,Mexico,"",MNE
N,Aerolineas Bonanza,581,\N,AERO BONANZA,Mexico,"",BNZ
N,Aerolineas Chihuahua,1144,\N,PACIFICO CHIHUAHUA,Mexico,"",PFI
N,Aerolineas Comerciales,833,\N,AERO COMERCIALES,Mexico,"",ECM
N,Aerolineas De El Salvador,549,\N,AESA,El Salvador,"",SZA
N,Aerolineas De Morelia,1086,\N,AEROMORELIA,Mexico,"",MOR
N,Aerolineas Del Pacifico,1225,\N,AEROPACSA,Ecuador,"",RPC
N,Aerolineas Del Sur,809,\N,DEL SUR,Chile,"",DLU
N,Aerolineas Del Sureste,1283,\N,AEROSURESTE,Mexico,"",SUE
N,Aerolineas Dominicanas,78,\N,DOMINAIR,Dominican Republic,"",ADM
N,Aerolineas Ejecutivas,1016,\N,MEXEJECUTIV,Mexico,"",LET
N,Aerolineas Ejecutivas Del Sureste,856,\N,ALESUR,Mexico,"",ESU
N,Aerolineas Ejecutivas Tarascas,1229,\N,TARASCAS,Mexico,"",RSC
N,Aerolineas Internacionales,1036,\N,LINEAINT,Mexico,"",LNT
N,Aerolineas Marcos,1064,\N,MARCOS,Mexico,"",MCO
N,Aerolineas Medellin,297,\N,AEROLINEAS MEDELLIN,Colombia,"",AMD
N,Aerolineas Mexicanas J S,1031,\N,LINEAS MEXICANAS,Mexico,"",LMX
N,Aerolineas Nacionales Del Ecuador,834,\N,ANDES,Ecuador,"",EDA
N,Aerolineas Olve,1129,\N,OLVE,Mexico,"",OLV
N,Aerolineas Pacifico Atlantico,393,\N, S.A. (Apair),AEROPERLAS,"",APP
N,Aerolineas Regionales,1183,\N,REGIONAL CARGO,Mexico,"",RCQ
N,Aerolineas Sol,1267,\N,ALSOL,Mexico,"",SOD
N,Aerolineas Sosa,1120,\N,SOSA,Honduras,"",NSO
N,Aerolineas Turisticas del Caribe,1319,\N,AERO TURISTICAS,Mexico,"",TTB
N,Aerolineas Uruguayas,513,\N, S.A.,AUSA,"",AUY
N,Aerolineas Villaverde,671,\N,VILLAVERDE,Mexico,"",VLR
N,Aerologic,1012,\N,"",Russia,"",LDL
N,Aeromaan,853,\N,EOMAAN,Mexico,"",ERM
N,Aeromagar,1071,\N,AEROMAGAR,Mexico,"",MGS
N,Aeromar,1221,\N,BRAVO QUEBEC,Dominican Republic,BQ,ROM
N,Aeromarket Express,421,\N,AMEX,Spain,"",ARM
N,Aeromas,1096,\N,AEROMAS EXPRESS,Uruguay,"",MSM
N,Aeromax,578,\N,AEROMAX SPAIN,Spain,"",AXP
N,Aeromedica,803,\N,AEROMEDICA,Mexico,"",DIC
N,Aeromedicare Ltd.,311,\N,LIFELINE,United Kingdom,"",AMQ
N,Aeromega,1130,\N,OMEGA,United Kingdom,"",OMG
N,Aeromet Linea Aerea,1100,\N,AEROMET,Chile,"",MTE
N,Aeromet Servicios,427,\N,METSERVICE,Chile,"",ARS
N,Aeromexhaga,572,\N,AEROMEXHAGA,Mexico,"",AXH
N,Aeromexpress,1088,\N,AEROMEXPRESS,Mexico,QO,MPX
N,Aeromilenio,261,\N,AEROMIL,Mexico,"",MNI
N,Aeromist-Kharkiv,196,\N,AEROMIST,Ukraine,HT,AHW
N,Aeromorelos,1090,\N,AEROMORELOS,Mexico,"",MRL
N,Aeromover,637,\N,AEROMOVER,Mexico,"",OVE
N,Aeromundo Ejecutivo,354,\N,AEROMUNDO,Mexico,"",MUN
N,Aeron International Airlines,573,\N, Inc.,AIR FREIGHTER,"",AXI
N,Aeronautica,904,\N,GIRA GLOBO,Angola,"",GGL
N,Aeronautica Castellana,832,\N,AERO CASTELLANA,Spain,"",ECL
N,Aeronautica Le Esperanza,857,\N,ESPERANZA,Mexico,"",ESZ
N,Aeronautical Academy of Europe,862,\N,DIANA,Portugal,"",EVR
N,Aeronautical Radio Inc,679,\N,"",United States,"",XAA
N,Aeronautical Radio of Thailand,111,\N,AEROTHAI,Thailand,"",AET
N,Aeronaves Del Centro,161,\N,"",Venezuela,"",AGA
N,Aeronaves Del Noreste,819,\N,AERONORESTE,Mexico,"",DRO
N,Aeronaves Del Noroeste,843,\N,AERONOR,Spain,"",ENW
N,Aeronaves TSM,681,\N,AERONAVES TSM,Mexico,"",VTM
N,Aeronavigaciya,1003,\N,AERONAVIGACIYA,Ukraine,"",KTN
N,Aeronem Air Cargo,1214,\N,AEROMNEM,Ecuador,"",RNM
N,Aeroni,1114,\N,AERONI,Mexico,"",NID
N,Aeronor,901,\N,AEROCARTO,Spain,"",GCF
N,Aeronord-Grup,358,\N,AERONORD,Moldova,"",NRP
N,Aero-North Aviation Services,1264,\N,SKIPPER,Canada,"",SKP
N,Aeropac,1281,\N,SAT PAK,United States,"",STK
N,Aeropiloto,363,\N,AEROPILOTO,Portugal,"",AOP
N,Aeropostal Cargo de Mexico,1140,\N,POSTAL CARGO,Mexico,"",PCG
N,Aeropro,392,\N,AEROPRO,Canada,"",APO
N,Aeropublicitaria De Angola,1085,\N,PUBLICITARIA,Angola,"",MOP
N,Aeropuelche,660,\N,PUELCHE,Chile,"",PUE
N,Aeropuma,395,\N, S.A.,AEROPUMA,"",APU
N,Aeroput,661,\N,"",Serbia,"",PUT
N,Aeroputul International Marculesti,307,\N,AEROM,Moldova,"",AMM
N,Aeropycsa,652,\N,AEROPYCSA,Mexico,"",PYC
N,Aero-Pyrenees,826,\N,AERO-PYRENEES,France,"",EAP
N,Aero-Rent,1189,\N,AERORENT,Mexico,"",REN
N,Aero-Rey,1192,\N,AEROREY,Mexico,"",REY
N,Aerosaab,1251,\N,AEROSAAB,Mexico,"",SBH
N,Aerosaba,854,\N,AEROSABA,Mexico,"",ESB
N,Aerosafin,875,\N,AEROSAFIN,Mexico,"",FIC
N,Aerosan,1135,\N,AEROSAN,Mexico,"",OSN
N,Aerosec,852,\N,AEROSEC,Chile,"",ERK
N,Aerosegovia,1259,\N,SEGOVIA,Nicaragua,"",SGV
N,Aeroserivios Del Bajio,1172,\N,AEROBAJIO,Mexico,"",RBJ
N,Aeroservices Corporate,187,\N,BIRD JET,France,"",CJE
N,Aeroservicio Sipse,1157,\N,SIPSE,Mexico,"",PSE
N,Aeroservicios California Pacifico,1149,\N,AEROCALPA,Mexico,"",PIF
N,Aeroservicios Corporativos De San Luis,1158,\N,CORSAN,Mexico,"",PSL
N,Aeroservicios de La Costa,1289,\N,AERO COSTA,Mexico,"",TAA
N,Aeroservicios De Nuevo Leon,1123,\N,SERVICIOS NUEVOLEON,Mexico,"",NUL
N,Aeroservicios De San Luis,417,\N,SERVICIO SANLUIS,Mexico,"",SUO
N,Aeroservicios Dinamicos,811,\N,AERODINAMICO,Mexico,"",DMI
N,Aeroservicios Ecuatorianos,825,\N,AECA,Ecuador,"",EAE
N,Aeroservicios Ejecutivos Corporativos,838,\N,EJECCORPORATIVOS,Mexico,"",EJP
N,Aeroservicios Ejecutivos Del Occidente,103,\N,AERO OCCIDENTE,Mexico,"",AEO
N,Aeroservicios Ejecutivos Del Pacifico,1272,\N,EJECTUIV PACIFICO,Mexico,"",SPO
N,Aeroservicios Gama,915,\N,SERVICIOS GAMA,Mexico,"",GMS
N,Aeroservicios Intergrados de Norte,959,\N,INTENOR,Mexico,"",INO
N,Aeroservicios Jet,1201,\N,ASERJET,Mexico,"",RJS
N,Aeroservicios Monterrey,378,\N,SERVIMONTE,Mexico,"",SVM
N,Aerosiyusa,1261,\N,SIYUSA,Mexico,"",SIY
N,Aerosmith Aviation,980,\N,JASPER,United States,"",JPR
N,Aerostar Airlines,1330,\N,AEROSTAR,Ukraine,"",UAR
N,AeroSucre,1000,\N,AEROSUCRE,Colombia,"",KRE
N,Aerosud Aviation,1288,\N,SKYTRACK,South Africa,"",SYT
N,Aerosud Charter,1067,\N,MEDAIR,South Africa,"",MDX
N,Aerosun International,446,\N, Inc.,AEROSUN,"",ASI
N,Aerosuper,418,\N,AEROSUPER,Mexico,"",SUP
N,AeroTACA,474,\N,AEROTACA,Colombia,"",ATK
N,Aerotal Aerolineas Territoriales de Colombia Ltda,428,\N,AEROTAL,Colombia,"",ART
N,Aerotaxi,965,\N,AEROTAXI,Czech Republic,"",ITE
N,Aerotaxi del Cabo,748,\N,TAXI CABO,Mexico,"",CBO
N,Aerotaxi Del Valle,375,\N,AEROVALLE,Colombia,"",AOX
N,Aerotaxi Grupo Tampico,929,\N,GRUPOTAMPICO,Mexico,"",GTP
N,Aerotaxi Mexicano,1103,\N,MAXAERO,Mexico,"",MXO
N,Aerotaxi Villa Rica,668,\N,VILLARICA,Mexico,"",VRI
N,Aerotaxis Albatros,272,\N,AEROLINEAS ALBATROS,Mexico,"",BTS
N,Aerotaxis Alfe,1324,\N,ALFE,Mexico,"",TXF
N,Aerotaxis Cimarron,956,\N,TAXI CIMARRON,Mexico,"",IMN
N,Aerotaxis de Aguascalientes,930,\N,AGUASCALIENTES,Mexico,"",GUA
N,Aerotaxis De La Bahia,546,\N,BAHIA,Mexico,"",BHC
N,Aerotaxis del Noroeste,1323,\N,TAXI OESTE,Mexico,"",TXD
N,Aerotaxis Dosmil,812,\N,"",Mexico,"",DML
N,Aerotaxis Guamuchil,914,\N,AEROGUAMUCHIL,Mexico,"",GMM
N,Aerotaxis Latinoamericanos,1046,\N,LATINO,Mexico,"",LTI
N,Aerotaxis Metropolitanos,1099,\N,AEROMETROPOLIS,Mexico,"",MTB
N,Aerotec,104,\N,AEROTEC,Spain,"",AEP
